location_id,battery_level,status,current_trip_id,car_id,eta_to_dropoff,eta_to_pickup,charging_station_id
7,49.9351207063758,charging,,713c5de2-bc26-4ec8-a6eb-84c9bedf53b4,2024-01-31T23:29:59.952910737,2024-01-31 23:08:06.952910737,869c79c1-de2d-4753-8b82-c07acec5d899
167,227.40252996647294,idle,,6b254aa1-0faf-4150-b723-93d01a26ab0e,2024-01-31T23:36:09.120468793,2024-01-31 23:28:32.120468793,6cbf298a-c7c4-4b67-b199-4e2c734ef691
24,59.55659593692232,en_route_with_client,47105178-2f65-45b0-8caa-23d50973aad2,e7d2239f-04f4-4a70-8d97-73e120aec134,2024-02-01T00:03:03.039920160,2024-01-31 23:47:12.039920160,f7575894-9f84-4213-be3f-27a64dd4caf4
178,202.7929855187886,idle,,8bc5fd51-cdab-47c4-ac9e-c6059621b87f,2024-01-31T22:59:03.307912297,2024-01-31 22:25:47.307912297,acb23cda-49eb-44e3-871c-babed5c95e79
107,41.5443174560076,en_route_with_client,b4eae64c-68fd-4c0d-9345-2a50627618e1,2220d7be-95a4-4062-bad2-1244d9004196,2024-02-01T00:13:43.958620690,2024-01-31 23:48:57.958620690,22505287-b3bb-4c90-847f-5ff5f0e8afbf
226,46.50652416643177,charging,,e0a42ab3-ae0c-4047-a74c-40a8788279a2,2024-01-31T23:31:59.765491822,2024-01-31 23:21:14.765491822,8853dae3-0c3c-42f8-bfa5-162fd3883538
42,238.08426712663012,charging,,3ce6116f-9500-4c10-9559-3cb8ca322856,2024-01-31T20:17:13.959934138,2024-01-31 20:00:50.959934138,efbb85d1-62c7-4ded-ac76-88065d50c239
148,257.8661799217995,en_route_with_client,7dfe6347-c548-4a0f-8071-115c55054cdd,67b7c892-f908-4c85-a666-cba998b4c839,2024-02-01T00:12:00.033663094,2024-01-31 23:41:49.033663094,795a15c9-0e25-4cf1-b4d9-7191e7209a9a
47,36.9142149467429,idle,,ff7a8473-51b6-4e90-994f-3ccc0479aafd,2024-01-31T23:31:54.984092995,2024-01-31 23:24:15.984092995,ca3ac352-28fe-4727-ac7b-8804b1ec916b
97,204.88802963428458,idle,,db9caecc-8aa4-40d1-b606-28c564139cd4,2024-01-31T23:59:42.275106313,2024-01-31 23:40:56.275106313,25c71b7c-b17d-48f0-80d4-24142062fd09
193,66.98993949069688,idle,,c6c0057f-4849-49f7-a26a-8804943bb151,2024-01-31T23:59:51.676606468,2024-01-31 23:26:36.676606468,c7a08aa4-c161-4c80-a2e8-51d238791907
227,201.91562867511425,idle,,fd2182c0-9019-455b-8178-4f320bca2d54,2024-01-31T22:49:24.661813187,2024-01-31 22:31:55.661813187,3832f66f-5c88-4282-9897-32a7a34c38d4
69,28.901023446752422,idle,,647edf48-305e-4835-9f37-6b2ba292eedb,2024-01-31T23:29:52.483493680,2024-01-31 23:13:48.483493680,3497b0ba-c78c-46e1-b8f7-886a5166f16b
127,192.89591333696774,idle,,3ba95d7e-a27b-4c94-96d5-608a3b7c3dac,2024-01-31T23:37:32.329285381,2024-01-31 23:23:10.329285381,89383ea2-5789-49c7-ac77-65578a8f1b4c
255,21.553106385047837,en_route_with_client,3c3665bb-c19b-41f9-be64-ede9d260c67a,5676a866-a8fa-4e57-975a-8a4d66afd40e,2024-02-01T00:04:44.596854305,2024-01-31 23:47:28.596854305,66aea132-e3d9-41d9-9be3-1db446b4761d
265,188.14809220969875,charging,,fb114c39-b1f0-4694-89aa-d1e9143506e5,2024-01-31T21:03:52.375000000,2024-01-31 20:44:36.375000000,a9482952-355b-4221-a174-8e1d12243ace
112,26.599342080008643,idle,,b8a1421c-5400-4f7e-ae94-80bf255b3bf5,2024-01-31T23:46:16.287325677,2024-01-31 23:38:52.287325677,a28853fd-6cf1-4d15-b5e7-c50aa7570353
225,215.4241454881775,en_route_to_client,646680da-d7d7-4126-95ad-ca98b47e0388,1b3400c8-f81d-4c1a-baab-2739ddd88853,2024-02-01T00:11:49.163674762,2024-02-01 00:06:31.163674762,f5498d8f-6e4f-4d48-8398-165b2fc55766
